timestamp;ui32ArduinoTimestamp;f32Value
35979690;1175991340;400.0000
36024859;1176053844;-1.0000
36049838;1176058528;400.0000
36094864;1176121044;-1.0000
36114992;1176125864;400.0000
36159943;1176188240;-1.0000
36179804;1176192940;400.0000
36229774;1176255444;-1.0000
36249813;1176260272;400.0000
36294868;1176322640;-1.0000
36314979;1176327468;400.0000
36349842;1176368652;203.0000
36384851;1176402684;212.0000
36419872;1176435560;200.0000
36464902;1176490436;-1.0000
36484859;1176495216;400.0000
36529881;1176557608;-1.0000
36554893;1176562340;400.0000
36589782;1176602852;190.0000
36619698;1176636172;186.0000
36654781;1176669680;185.0000
36694892;1176725408;-1.0000
36714909;1176730168;400.0000
36764807;1176792608;-1.0000
36784870;1176797320;400.0000
36829849;1176859808;-1.0000
36849837;1176864560;400.0000
36899873;1176927008;-1.0000
36919992;1176931780;400.0000
36954966;1176970788;165.0000
36990003;1177004252;164.0000
37034886;1177061252;-1.0000
37049898;1177065992;400.0000
37089777;1177103836;144.0000
37124889;1177136972;137.0000
37164765;1177195480;-1.0000
37179701;1177200448;400.0000
37224908;1177237556;135.0000
37259872;1177270796;130.0000
37299804;1177329748;-1.0000
37314822;1177334484;400.0000
37369860;1177396948;-1.0000
37384980;1177401684;400.0000
37434937;1177464148;-1.0000
37454900;1177469000;400.0000
37499866;1177531340;-1.0000
37520244;1177536144;400.0000
37559775;1177572812;125.0000
37594912;1177615256;279.0000
37624854;1177638596;103.0000
37659859;1177671896;99.0000
37694818;1177705252;96.0000
37729815;1177738772;95.0000
37759898;1177772324;95.0000
37804897;1177833220;-1.0000
37824967;1177838048;400.0000
37864795;1177881588;244.0000
37909882;1177933948;-1.0000
37929807;1177938696;400.0000
37974776;1178001140;-1.0000
37994862;1178006016;400.0000
38019757;1178039932;78.0000
38059871;1178073432;78.0000
38089794;1178106764;75.0000
38125026;1178140176;72.0000
38154998;1178173612;71.0000
38189967;1178207048;69.0000
38224825;1178240432;67.0000
38254803;1178273940;66.0000
38294872;1178307340;64.0000
38324915;1178340748;62.0000
38359943;1178374236;61.0000
38389799;1178407704;59.0000
38424809;1178441260;58.0000
38454790;1178474556;57.0000
38489863;1178508080;55.0000
38514947;1178541416;53.0000
38549877;1178574844;52.0000
38579789;1178608284;50.0000
38619825;1178641720;48.0000
38654798;1178675176;47.0000
38684859;1178708604;45.0000
38719929;1178742044;44.0000
38749875;1178775512;42.0000
38784770;1178808952;41.0000
38819884;1178842380;40.0000
38854788;1178875848;39.0000
38884871;1178909332;38.0000
38919918;1178942812;37.0000
38949863;1178976272;35.0000
38989962;1179009720;34.0000
39019833;1179043180;33.0000
39054881;1179076656;31.0000
39084808;1179110088;30.0000
39119878;1179143564;29.0000
39149873;1179177048;28.0000
39189933;1179210540;27.0000
39219765;1179244004;26.0000
39254766;1179277456;25.0000
39284861;1179310956;24.0000
39324935;1179344452;24.0000
39354892;1179377936;23.0000
39389965;1179411428;22.0000
39419867;1179444936;22.0000
39454870;1179478432;21.0000
39484748;1179511940;21.0000
39524884;1179545432;20.0000
39554892;1179578960;20.0000
39589956;1179612460;20.0000
39619920;1179645976;19.0000
39659784;1179679468;19.0000
39689860;1179713000;18.0000
39724813;1179746520;18.0000
39754780;1179780044;18.0000
39789830;1179813568;18.0000
39824880;1179847120;17.0000
39859807;1179880640;17.0000
39889783;1179914164;17.0000
39924801;1179947688;16.0000
39959978;1179981240;16.0000
39995006;1180014764;16.0000
40024950;1180048284;16.0000
40059872;1180081812;15.0000
40084721;1180115180;15.0000
40119895;1180148692;15.0000
40154874;1180182200;14.0000
40189909;1180215720;14.0000
40219826;1180249252;14.0000
40254886;1180282732;14.0000
40289817;1180316236;13.0000
40324846;1180349760;13.0000
40354900;1180383268;12.0000
40384803;1180416780;13.0000
40424891;1180450288;12.0000
40459857;1180483784;12.0000
40489794;1180517332;12.0000
40524738;1180550828;12.0000
40554770;1180584360;11.0000
40594946;1180617888;11.0000
40624877;1180651388;11.0000
40659869;1180684916;11.0000
40689860;1180718460;11.0000
40724875;1180751992;11.0000
40754849;1180785504;10.0000
40794807;1180819032;10.0000
40824992;1180852576;11.0000
40859873;1180886084;11.0000
40889836;1180919644;11.0000
40929807;1180953172;11.0000
40959882;1180986696;11.0000
40994836;1181020224;11.0000
41024803;1181053748;11.0000
41059801;1181087252;10.0000
41094927;1181120772;10.0000
41129917;1181154296;10.0000
41159894;1181187816;10.0000
41194817;1181221344;10.0000
41224813;1181254900;10.0000
41264918;1181288436;10.0000
41294872;1181321968;10.0000
41329946;1181355488;10.0000
41360208;1181388992;10.0000
41394733;1181422552;10.0000
41429786;1181456060;10.0000
41459801;1181489600;10.0000
41494822;1181523136;10.0000
41529903;1181556656;10.0000
41564890;1181590184;10.0000
41594892;1181623680;10.0000
41629757;1181657220;10.0000
41659786;1181690756;10.0000
41699911;1181724284;10.0000
41729871;1181757804;10.0000
41764911;1181791356;9.0000
41794868;1181824880;9.0000
41829903;1181858424;10.0000
41864869;1181891932;9.0000
41899936;1181925476;9.0000
41929869;1181959000;9.0000
41964852;1181992520;9.0000
41994841;1182026028;9.0000
42034937;1182059568;8.0000
42064835;1182093092;9.0000
42099917;1182126588;8.0000
42135004;1182160120;8.0000
42165061;1182193656;8.0000
42199887;1182227164;8.0000
42229928;1182260660;8.0000
42264774;1182294212;8.0000
42299874;1182327704;7.0000
42334863;1182361256;7.0000
42369791;1182394800;8.0000
42399852;1182428304;7.0000
42429803;1182461852;7.0000
42469805;1182495352;7.0000
42499833;1182528884;7.0000
42534786;1182562380;7.0000
42569860;1182595928;7.0000
42604870;1182629448;6.0000
42634980;1182663008;7.0000
42669774;1182696508;6.0000
42699757;1182730012;6.0000
42739894;1182763552;6.0000
42769744;1182797104;6.0000
42804790;1182830624;6.0000
42834951;1182864104;5.0000
42869784;1182897692;6.0000
42904929;1182931176;5.0000
42939864;1182964720;5.0000
42969734;1182998224;5.0000
43004858;1183031744;5.0000
43039873;1183065296;5.0000
43075006;1183098812;5.0000
43104891;1183132364;5.0000
43139921;1183165892;5.0000
43169932;1183199436;5.0000
43204875;1183232936;5.0000
43240003;1183266456;5.0000
43269874;1183300008;5.0000
43304918;1183333552;5.0000
43339882;1183367052;5.0000
43374901;1183400616;6.0000
43404917;1183434124;5.0000
43439960;1183467644;5.0000
43474908;1183501188;6.0000
43510002;1183534708;5.0000
43539919;1183568240;5.0000
43574848;1183601760;5.0000
43604799;1183635304;5.0000
43644860;1183668844;5.0000
43674889;1183702364;5.0000
43709814;1183735892;5.0000
43739795;1183769408;5.0000
43774843;1183802936;5.0000
43809822;1183836480;5.0000
43844882;1183870032;5.0000
43874844;1183903568;6.0000
43909854;1183937076;5.0000
43944902;1183970668;6.0000
43979826;1184004176;6.0000
44009830;1184037712;6.0000
44044851;1184071288;6.0000
44074793;1184104828;7.0000
44114925;1184138364;7.0000
44144903;1184171932;8.0000
44179861;1184205456;7.0000
44209856;1184238984;8.0000
44244750;1184272548;8.0000
44279782;1184306072;8.0000
44315062;1184339612;9.0000
44344846;1184373188;9.0000
44379825;1184406712;9.0000
44409823;1184440256;9.0000
44449870;1184473856;10.0000
44479755;1184507376;10.0000
44514962;1184540908;10.0000
44544831;1184574472;11.0000
44579750;1184608064;12.0000
44614838;1184641588;12.0000
44649895;1184675148;12.0000
44679717;1184708760;13.0000
44714853;1184742304;14.0000
44744853;1184775896;14.0000
44779761;1184809440;15.0000
44819924;1184842976;15.0000
44854885;1184876680;16.0000
44889844;1184910208;16.0000
44919942;1184943728;17.0000
44959886;1184977280;17.0000
44989851;1185010800;18.0000
45019935;1185044320;18.0000
45054751;1185077920;19.0000
45084911;1185111484;20.0000
45124893;1185145060;20.0000
45154868;1185178620;21.0000
45189723;1185212196;21.0000
45219887;1185245760;22.0000
45259882;1185279312;23.0000
45289872;1185312888;23.0000
45324892;1185346448;24.0000
45354905;1185380024;25.0000
45394858;1185413592;26.0000
45424805;1185447168;26.0000
45459757;1185480756;27.0000
45489869;1185514332;28.0000
45524886;1185547908;29.0000
45560871;1185581500;30.0000
45594970;1185615072;31.0000
45624770;1185648676;31.0000
45659880;1185682268;32.0000
45689852;1185715840;33.0000
45729783;1185749408;34.0000
45759870;1185782984;35.0000
45794877;1185816572;36.0000
45824764;1185850124;36.0000
45859745;1185883688;37.0000
45894862;1185917264;37.0000
45930010;1185950808;38.0000
45959904;1185984352;38.0000
45994961;1186017956;39.0000
46024938;1186051520;40.0000
46060698;1186085072;40.0000
46094837;1186118632;41.0000
46124898;1186152208;41.0000
46159774;1186185752;42.0000
46194911;1186219348;43.0000
46229937;1186252904;43.0000
46259886;1186286484;44.0000
46294822;1186320060;44.0000
46329860;1186353604;45.0000
46364893;1186387156;45.0000
46394897;1186420716;46.0000
46429925;1186454312;47.0000
46459827;1186487864;47.0000
46499737;1186521432;48.0000
46529854;1186555028;49.0000
46564724;1186588592;50.0000
46595011;1186622212;51.0000
46629897;1186655764;52.0000
46664860;1186689276;51.0000
46699884;1186722888;52.0000
46729822;1186756388;52.0000
46764768;1186789980;53.0000
46794898;1186823572;54.0000
46835042;1186857080;54.0000
46869863;1186890804;55.0000
46904970;1186924332;57.0000
46934820;1186957860;58.0000
46974923;1186991384;57.0000
47004867;1187024936;58.0000
47044961;1187058660;59.0000
47074772;1187092196;59.0000
47109804;1187125668;60.0000
47144846;1187159244;61.0000
47179748;1187192804;62.0000
47209861;1187226404;63.0000
47244980;1187259960;63.0000
47274766;1187293524;64.0000
47314908;1187327144;65.0000
47344871;1187360680;65.0000
47379751;1187394212;65.0000
47414930;1187427760;65.0000
47444962;1187461360;66.0000
47479888;1187494880;66.0000
47514990;1187528380;66.0000
47544887;1187561932;66.0000
47574790;1187595456;66.0000
47604844;1187629024;67.0000
47644937;1187662556;67.0000
47679795;1187696104;67.0000
47714948;1187729624;67.0000
47744853;1187763224;68.0000
47784995;1187796716;68.0000
47814853;1187830244;68.0000
47849985;1187863788;68.0000
